sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,pole,residue,multiplicity_pole,poles_all
87.08837837837838,1,2,[-2.81755210e-05 -4.48832696e-03  1.00000000e+00],[-0.02478812  1.        ],"[1.0, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[1, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.341899325961826+0j),(-31.18741802998846+0j),[1],[array([40.34189933])]
87.08837837837838,2,0,[1.],[-6.2936605e-05 -2.0299797e-02  1.0000000e+00],"[1.0, 0.0202997969696934, 0.00047501836198140005, 1.0920376607964267e-05]","[1, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[0.0, 0.0, 0.0, 8.544374171082808e-07]",0.0,(43.41723116244344+0j),(-38.812548366734426+0j),[1],"[array([  43.41723116, -365.96079669])]"
87.08837837837838,2,1,[-0.01357616  1.        ],[ 2.12656686e-04 -3.38759569e-02  1.00000000e+00],"[1.0, 0.0202997969696934, 0.00047501836198139994, 1.1774814025072539e-05]","[1, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[0.0, 0.0, 1.0842021724855044e-19, 8.470329472543003e-21]",8.470329472543003e-21,(39.132585585123806+0j),(-27.200578788465094+0j),[1],"[array([ 39.13258559, 120.166224  ])]"
87.08837837837838,3,0,[1.],[-8.54437417e-07 -6.29366050e-05 -2.02997970e-02  1.00000000e+00],"[1.0, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[1, 0.0202997969696934, 0.00047501836198140005, 1.1774814025072547e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.101495675706296+0j),(-33.552923795239394-0j),[1],"[array([ 41.10149568  +0.j       , -57.38001333+158.6897225j,
       -57.38001333-158.6897225j])]"
87.18846846846847,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]",0.0,,,[],[]
87.18846846846847,0,1,[0.02027661 1.        ],[1.],"[1.0, 0.0202766128794566, 0.0, 0.0]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.00047393579093070004, 1.1734640655753145e-05]",0.0,,,[],[]
87.18846846846847,0,2,[4.73935791e-04 2.02766129e-02 1.00000000e+00],[1.],"[1.0, 0.0202766128794566, 0.00047393579093070004, 0.0]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 1.1734640655753145e-05]",0.0,,,[],[]
87.18846846846847,0,3,[1.17346407e-05 4.73935791e-04 2.02766129e-02 1.00000000e+00],[1.],"[1.0, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.18846846846847,1,0,[1.],[-0.02027661  1.        ],"[1.0, 0.0202766128794566, 0.0004111410298633453, 8.336547501400158e-06]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 6.279476106735472e-05, 3.3980931543529875e-06]",0.0,(49.31790166064458+0j),(-49.31790166064458+0j),[1],[array([49.31790166])]
87.18846846846847,1,1,[-0.00309691  1.        ],[-0.02337352  1.        ],"[1.0, 0.0202766128794566, 0.00047393579093070004, 1.1077547086411e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 6.570935693421453e-07]",0.0,(42.783459843026485+0j),(-37.11480769670557+0j),[1],[array([42.78345984])]
87.18846846846847,1,2,[-2.81127363e-05 -4.48336702e-03  1.00000000e+00],[-0.02475998  1.        ],"[1.0, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.387754924420584+0j),(-31.222569717127445+0j),[1],[array([40.38775492])]
87.18846846846847,2,0,[1.],[-6.27947611e-05 -2.02766129e-02  1.00000000e+00],"[1.0, 0.0202766128794566, 0.00047393579093070004, 1.0883077623441607e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 8.515630323115381e-07]",0.0,(43.466739532535435+0j),(-38.856711326165886+0j),[1],"[array([  43.46673953, -366.36967817])]"
87.18846846846847,2,1,[-0.01356105  1.        ],[ 2.12177444e-04 -3.38376651e-02  1.00000000e+00],"[1.0, 0.0202766128794566, 0.00047393579093070015, 1.173464065575315e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, -1.0842021724855044e-19, -5.082197683525802e-21]",-5.082197683525802e-21,(39.176980109174295+0j),(-27.230959008535745+0j),[1],"[array([ 39.17698011, 120.30116401])]"
87.18846846846847,3,0,[1.],[-8.51563032e-07 -6.27947611e-05 -2.02766129e-02  1.00000000e+00],"[1.0, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[1, 0.0202766128794566, 0.00047393579093070004, 1.1734640655753145e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.14827001861306+0j),(-33.5909160314002-0j),[1],"[array([ 41.14827002  +0.j        , -57.44443039+158.86682704j,
       -57.44443039-158.86682704j])]"
87.28855855855855,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]",0.0,,,[],[]
87.28855855855855,0,1,[0.02025348 1.        ],[1.],"[1.0, 0.0202534815512732, 0.0, 0.0]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.00047285690819700004, 1.1694650063109459e-05]",0.0,,,[],[]
87.28855855855855,0,2,[4.72856908e-04 2.02534816e-02 1.00000000e+00],[1.],"[1.0, 0.0202534815512732, 0.00047285690819700004, 0.0]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 1.1694650063109459e-05]",0.0,,,[],[]
87.28855855855855,0,3,[1.16946501e-05 4.72856908e-04 2.02534816e-02 1.00000000e+00],[1.],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109457e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 1.6940658945086007e-21]",1.6940658945086007e-21,,,[],[]
87.28855855855855,1,0,[1.],[-0.02025348  1.        ],"[1.0, 0.0202534815512732, 0.0004102035149477639, 8.308049322261957e-06]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 6.265339324923615e-05, 3.386600740847502e-06]",0.0,(49.37422721463593+0j),(-49.37422721463593+0j),[1],[array([49.37422721])]
87.28855855855855,1,1,[-0.00309346  1.        ],[-0.02334694  1.        ],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.103976395680822e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 6.548861063012384e-07]",0.0,(42.83215746704342+0j),(-37.15690992603075+0j),[1],[array([42.83215747])]
87.28855855855855,1,2,[-2.80501848e-05 -4.47841907e-03  1.00000000e+00],[-0.0247319  1.       ],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109457e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 1.6940658945086007e-21]",1.6940658945086007e-21,(40.433609013117696+0j),(-31.257717361496265+0j),[1],[array([40.43360901])]
87.28855855855855,2,0,[1.],[-6.26533932e-05 -2.02534816e-02  1.00000000e+00],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.0845948010858095e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 8.487020522513632e-07]",0.0,(43.51624833852119+0j),(-38.90087478063773+0j),[1],"[array([  43.51624834, -366.77857303])]"
87.28855855855855,2,1,[-0.01354599  1.        ],[ 2.11700005e-04 -3.37994686e-02  1.00000000e+00],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.169465006310946e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, -1.6940658945086007e-21]",-1.6940658945086007e-21,(39.22137078325055+0j),(-27.261327826486994+0j),[1],"[array([ 39.22137078, 120.43601118])]"
87.28855855855855,3,0,[1.],[-8.48702052e-07 -6.26533932e-05 -2.02534816e-02  1.00000000e+00],"[1.0, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109457e-05]","[1, 0.0202534815512732, 0.00047285690819700004, 1.1694650063109459e-05]","[0.0, 0.0, 0.0, 1.6940658945086007e-21]",1.6940658945086007e-21,(41.19504346681635+0j),(-33.6289059838373-0j),[1],"[array([ 41.19504347  +0.j        , -57.5088224 +159.04388685j,
       -57.5088224 -159.04388685j])]"
87.38864864864864,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]",0.0,,,[],[]
87.38864864864864,0,1,[0.0202304 1.       ],[1.],"[1.0, 0.0202304028056862, 0.0, 0.0]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.000471781697082, 1.1654840388314106e-05]",0.0,,,[],[]
87.38864864864864,0,2,[4.71781697e-04 2.02304028e-02 1.00000000e+00],[1.],"[1.0, 0.0202304028056862, 0.000471781697082, 0.0]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.0, 1.1654840388314106e-05]",0.0,,,[],[]
87.38864864864864,0,3,[1.16548404e-05 4.71781697e-04 2.02304028e-02 1.00000000e+00],[1.],"[1.0, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.38864864864864,1,0,[1.],[-0.0202304  1.       ],"[1.0, 0.0202304028056862, 0.00040926919768031605, 8.279680725032806e-06]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 6.251249940168393e-05, 3.3751596632813e-06]",0.0,(49.43055309402579+0j),(-49.43055309402579+0j),[1],[array([49.43055309])]
87.38864864864864,1,1,[-0.00309003  1.        ],[-0.02332043  1.        ],"[1.0, 0.0202304028056862, 0.0004717816970819999, 1.1002152148894016e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 5.421010862427522e-20, 6.526882394200901e-07]",5.421010862427522e-20,(42.88085555419496+0j),(-37.19901271511298+0j),[1],[array([42.88085555])]
87.38864864864864,1,2,[-2.79878301e-05 -4.47348134e-03  1.00000000e+00],[-0.02470388  1.        ],"[1.0, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.479464442519415+0j),(-31.29286757576709+0j),[1],[array([40.47946444])]
87.38864864864864,2,0,[1.],[-6.25124994e-05 -2.02304028e-02  1.00000000e+00],"[1.0, 0.0202304028056862, 0.000471781697082, 1.0808986811605373e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.0, 8.458535767087328e-07]",0.0,(43.565757578907025+0j),(-38.945038728438085+0j),[1],"[array([  43.56575758, -367.18748122])]"
87.38864864864864,2,1,[-0.01353095  1.        ],[ 2.11224093e-04 -3.37613540e-02  1.00000000e+00],"[1.0, 0.0202304028056862, 0.00047178169708199987, 1.1654840388314103e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 1.0842021724855044e-19, 3.3881317890172014e-21]",3.3881317890172014e-21,(39.265763781921976+0j),(-27.291702265636747+0j),[1],"[array([ 39.26576378, 120.57089825])]"
87.38864864864864,3,0,[1.],[-8.45853577e-07 -6.25124994e-05 -2.02304028e-02  1.00000000e+00],"[1.0, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[1, 0.0202304028056862, 0.000471781697082, 1.1654840388314106e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.24181795812713+0j),(-33.66689766543972-0j),[1],"[array([ 41.24181796  +0.j        , -57.57322621+159.22097175j,
       -57.57322621-159.22097175j])]"
87.48873873873873,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]",0.0,,,[],[]
87.48873873873873,0,1,[0.02020738 1.        ],[1.],"[1.0, 0.0202073764640498, 0.0, 0.0]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.00047071014098070004, 1.1615210764290247e-05]",0.0,,,[],[]
87.48873873873873,0,2,[4.70710141e-04 2.02073765e-02 1.00000000e+00],[1.],"[1.0, 0.0202073764640498, 0.00047071014098070004, 0.0]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 1.1615210764290247e-05]",0.0,,,[],[]
87.48873873873873,0,3,[1.16152108e-05 4.70710141e-04 2.02073765e-02 1.00000000e+00],[1.],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.48873873873873,1,0,[1.],[-0.02020738  1.        ],"[1.0, 0.0202073764640498, 0.00040833806355983383, 8.251440974954658e-06]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 6.23720774208662e-05, 3.363769789335589e-06]",0.0,(49.486879297718986+0j),(-49.486879297718986+0j),[1],[array([49.4868793])]
87.48873873873873,1,1,[-0.0030866  1.       ],[-0.02329398  1.        ],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.096471069444636e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 6.505000698438872e-07]",0.0,(42.92955410297468+0j),(-37.24111606215544+0j),[1],[array([42.9295541])]
87.48873873873873,1,2,[-2.79256779e-05 -4.46855412e-03  1.00000000e+00],[-0.02467593  1.        ],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.52532067931554+0j),(-31.328019124827414+0j),[1],[array([40.52532068])]
87.48873873873873,2,0,[1.],[-6.23720774e-05 -2.02073765e-02  1.00000000e+00],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.0772193073531266e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 8.430176907589803e-07]",0.0,(43.61526725227169+0j),(-38.989203167968306+0j),[1],"[array([  43.61526725, -367.59640272])]"
87.48873873873873,2,1,[-0.01351595  1.        ],[ 2.10749751e-04 -3.37233234e-02  1.00000000e+00],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290252e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, -5.082197683525802e-21]",-5.082197683525802e-21,(39.310157952215576+0j),(-27.32207915021398+0j),[1],"[array([ 39.31015795, 120.70580047])]"
87.48873873873873,3,0,[1.],[-8.43017691e-07 -6.23720774e-05 -2.02073765e-02  1.00000000e+00],"[1.0, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[1, 0.0202073764640498, 0.00047071014098070004, 1.1615210764290247e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.28859312946458+0j),(-33.70489032599995-0j),[1],"[array([ 41.28859313  +0.j        , -57.63763496+159.39806872j,
       -57.63763496-159.39806872j])]"
87.58882882882882,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]",0.0,,,[],[]
87.58882882882882,0,1,[0.0201844 1.       ],[1.],"[1.0, 0.020184402348524, 0.0, 0.0]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.000469642223382, 1.1575760281168624e-05]",0.0,,,[],[]
87.58882882882882,0,2,[4.69642223e-04 2.01844023e-02 1.00000000e+00],[1.],"[1.0, 0.020184402348524, 0.000469642223382, 0.0]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.0, 1.1575760281168624e-05]",0.0,,,[],[]
87.58882882882882,0,3,[1.15757603e-05 4.69642223e-04 2.01844023e-02 1.00000000e+00],[1.],"[1.0, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.58882882882882,1,0,[1.],[-0.0201844  1.       ],"[1.0, 0.020184402348524, 0.0004074100981671011, 8.223329342256428e-06]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 6.22321252148989e-05, 3.3524309389121957e-06]",0.0,(49.543205824626554+0j),(-49.543205824626554+0j),[1],[array([49.54320582])]
87.58882882882882,1,1,[-0.00308318  1.        ],[-0.02326758  1.        ],"[1.0, 0.020184402348524, 0.00046964222338199995, 1.0927438631806568e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 5.421010862427522e-20, 6.483216493620552e-07]",5.421010862427522e-20,(42.97825311185086+0j),(-37.28321996531281+0j),[1],[array([42.97825311])]
87.58882882882882,1,2,[-2.78637319e-05 -4.46363760e-03  1.00000000e+00],[-0.02464804  1.        ],"[1.0, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.57117735463226+0j),(-31.363171154974697+0j),[1],[array([40.57117735])]
87.58882882882882,2,0,[1.],[-6.22321252e-05 -2.01844023e-02  1.00000000e+00],"[1.0, 0.020184402348524, 0.000469642223382, 1.0735565850938918e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.0, 8.401944302297055e-07]",0.0,(43.66477735717447+0j),(-39.033368097594796+0j),[1],"[array([  43.66477736, -368.00533746])]"
87.58882882882882,2,1,[-0.01350098  1.        ],[ 2.10277007e-04 -3.36853784e-02  1.00000000e+00],"[1.0, 0.020184402348524, 0.0004696422233820001, 1.1575760281168632e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, -1.0842021724855044e-19, -8.470329472543003e-21]",-8.470329472543003e-21,(39.354552497243404+0j),(-27.352456286172384+0j),[1],"[array([ 39.3545525 , 120.84070075])]"
87.58882882882882,3,0,[1.],[-8.40194430e-07 -6.22321252e-05 -2.01844023e-02  1.00000000e+00],"[1.0, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[1, 0.020184402348524, 0.000469642223382, 1.1575760281168624e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.3353687295665+0j),(-33.74288344681556-0j),[1],"[array([ 41.33536873  +0.j        , -57.7020439 +159.57516875j,
       -57.7020439 -159.57516875j])]"
87.68891891891892,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]",0.0,,,[],[]
87.68891891891892,0,1,[0.02016148 1.        ],[1.],"[1.0, 0.0201614802820708, 0.0, 0.0]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0004685779278681, 1.1536487628902033e-05]",0.0,,,[],[]
87.68891891891892,0,2,[4.68577928e-04 2.01614803e-02 1.00000000e+00],[1.],"[1.0, 0.0201614802820708, 0.0004685779278681, 0.0]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 1.1536487628902033e-05]",0.0,,,[],[]
87.68891891891892,0,3,[1.15364876e-05 4.68577928e-04 2.01614803e-02 1.00000000e+00],[1.],"[1.0, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.68891891891892,1,0,[1.],[-0.02016148  1.        ],"[1.0, 0.0201614802820708, 0.00040648528716432964, 8.195345102115518e-06]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 6.209264070377034e-05, 3.3411425267865145e-06]",0.0,(49.599532673663845+0j),(-49.599532673663845+0j),[1],[array([49.59953267])]
87.68891891891892,1,1,[-0.00307977  1.        ],[-0.02324125  1.        ],"[1.0, 0.0201614802820708, 0.0004685779278681, 1.0890335005828776e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 6.461526230732561e-07]",0.0,(43.02695257926459+0j),(-37.32532442268935+0j),[1],[array([43.02695258])]
87.68891891891892,1,2,[-2.78019783e-05 -4.45873109e-03  1.00000000e+00],[-0.02462021  1.        ],"[1.0, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.6170355259763+0j),(-31.3983261204754+0j),[1],[array([40.61703553])]
87.68891891891892,2,0,[1.],[-6.20926407e-05 -2.01614803e-02  1.00000000e+00],"[1.0, 0.0201614802820708, 0.0004685779278681, 1.0699104204537062e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 8.373834243649702e-07]",0.0,(43.71428789215332+0j),(-39.07753351564727+0j),[1],"[array([  43.71428789, -368.4142854 ])]"
87.68891891891892,2,1,[-0.01348603  1.        ],[ 2.09805755e-04 -3.36475136e-02  1.00000000e+00],"[1.0, 0.0201614802820708, 0.00046857792786810003, 1.1536487628902033e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, -5.421010862427522e-20, 0.0]",0.0,(39.39894970906292+0j),(-27.382839993937633+0j),[1],"[array([ 39.39894971, 120.97564837])]"
87.68891891891892,3,0,[1.],[-8.37383424e-07 -6.20926407e-05 -2.01614803e-02  1.00000000e+00],"[1.0, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[1, 0.0201614802820708, 0.0004685779278681, 1.1536487628902033e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.38214547703849+0j),(-33.78087851681413-0j),[1],"[array([ 41.38214548  +0.j        , -57.7664667 +159.75229774j,
       -57.7664667 -159.75229774j])]"
87.789009009009,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]",0.0,,,[],[]
87.789009009009,0,1,[0.02013861 1.        ],[1.],"[1.0, 0.0201386100884496, 0.0, 0.0]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0004675172381133, 1.1497392040511217e-05]",0.0,,,[],[]
87.789009009009,0,2,[4.67517238e-04 2.01386101e-02 1.00000000e+00],[1.],"[1.0, 0.0201386100884496, 0.0004675172381133, 0.0]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0, 1.1497392040511217e-05]",0.0,,,[],[]
87.789009009009,0,3,[1.14973920e-05 4.67517238e-04 2.01386101e-02 1.00000000e+00],[1.],"[1.0, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,,,[],[]
87.789009009009,1,0,[1.],[-0.02013861  1.        ],"[1.0, 0.0201386100884496, 0.000405563616294604, 8.167487534618614e-06]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 6.195362181869599e-05, 3.3299045058926023e-06]",0.0,(49.65585984375084+0j),(-49.65585984375084+0j),[1],[array([49.65585984])]
87.789009009009,1,1,[-0.00307636  1.        ],[-0.02321497  1.        ],"[1.0, 0.0201386100884496, 0.00046751723811330005, 1.0853398867802163e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, -5.421010862427522e-20, 6.439931727090541e-07]",-5.421010862427522e-20,(43.07565250368186+0j),(-37.36742943242918+0j),[1],[array([43.0756525])]
87.789009009009,1,2,[-2.77404261e-05 -4.45383507e-03  1.00000000e+00],[-0.02459245  1.        ],"[1.0, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(40.66289437343675+0j),(-31.43348212160396+0j),[1],[array([40.66289437])]
87.789009009009,2,0,[1.],[-6.19536218e-05 -2.01386101e-02  1.00000000e+00],"[1.0, 0.0201386100884496, 0.0004675172381133, 1.066280720136658e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0, 8.345848391446361e-07]",0.0,(43.763798855767284+0j),(-39.121699420486316+0j),[1],"[array([  43.76379886, -368.82324651])]"
87.789009009009,2,1,[-0.01347112  1.        ],[ 2.09336065e-04 -3.36097328e-02  1.00000000e+00],"[1.0, 0.0201386100884496, 0.0004675172381132999, 1.1497392040511208e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 1.0842021724855044e-19, 8.470329472543003e-21]",8.470329472543003e-21,(39.443347814055144+0j),(-27.413225387150305+0j),[1],"[array([ 39.44334781, 121.11060524])]"
87.789009009009,3,0,[1.],[-8.34584839e-07 -6.19536218e-05 -2.01386101e-02  1.00000000e+00],"[1.0, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[1, 0.0201386100884496, 0.0004675172381133, 1.1497392040511217e-05]","[0.0, 0.0, 0.0, 0.0]",0.0,(41.428922813931344+0j),(-33.81887438244363-0j),[1],"[array([ 41.42892281  +0.j        , -57.83089278+159.92943566j,
       -57.83089278-159.92943566j])]"
87.8890990990991,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.0201157915922128, 0.00046646013788280004, 1.1458472830575465e-05]","[0.0, 0.0201157915922128, 0.00046646013788280004, 1.1458472830575465e-05]",0.0,,,[],[]
87.8890990990991,0,1,[0.02011579 1.        ],[1.],"[1.0, 0.0201157915922128, 0.0, 0.0]","[1, 0.0201157915922128, 0.00046646013788280004, 1.1458472830575465e-05]","[0.0, 0.0, 0.00046646013788280004, 1.1458472830575465e-05]",0.0,,,[],[]
