,sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error
2075,20.728648648648647,-2.7014693647704533,8.11599332111451,1_1,,,0.6671424854746578,-7.44310881950368e-05,0.1357727058462371
2076,20.728648648648647,-3.9579866978559077,9.217923694952217,1_2,,,0.5192916468521642,,
2077,20.728648648648647,-8.119860581979133,12.182689249963737,2_0,(-24.3479965086375+0j),(8.119860581979133+0j),0.22227506583468096,0.0002026906026989,0.3697359832484422
2078,20.728648648648647,-3.827835547627826,9.139819491967277,2_1,(-120.83282536838223+0j),(70.22699177704035+0j),0.5403213257104715,,
2079,20.728648648648647,-5.720895337477161,10.291006843735314,3_0,(-13.461800460008417+17.26822246635626j),(2.8604476687385807-3.934606611095344j),0.15757109919574466,,
2080,20.82873873873874,,,0_0,,,,0.0408303171172852,1.0
2081,20.82873873873874,,,0_1,,,,0.0050094633889332,1.0
2082,20.82873873873874,,,0_2,,,,0.0005412002863395,1.0
2083,20.82873873873874,,,0_3,,,,,
2084,20.82873873873874,-24.49160502788889,24.49160502788889,1_0,,,0.0,0.0033423485930351,0.6672069109076578
2085,20.82873873873874,-2.7124756300444677,8.150636894060682,1_1,,,0.6672069109076578,-7.340976856106427e-05,0.13564251611466
2086,20.82873873873874,-3.972745777637018,9.25620979030805,1_2,,,0.5195381867299604,,
2087,20.82873873873874,-8.155047374341084,12.235876243313777,2_0,(-24.45193210366553+0j),(8.155047374341084+0j),0.22228221694830483,0.0002001931546117,0.3699058549392709
2088,20.82873873873874,-3.8423765198262565,9.177945366530295,2_1,(-121.49815052036416+0j),(70.63255673896947+0j),0.5405162762140128,,
2089,20.82873873873874,-5.744875259528147,10.335120007528062,3_0,(-13.515369396938626+17.339415535373174j),(2.8724376297640735-3.9510583914387403j),0.1575824050601044,,
2090,20.928828828828827,,,0_0,,,,0.0406496518199349,1.0
2091,20.928828828828827,,,0_1,,,,0.0049661804069878,1.0
2092,20.928828828828827,,,0_2,,,,0.0005343130923918,1.0
2093,20.928828828828827,,,0_3,,,,,
2094,20.928828828828827,-24.60045671312718,24.60045671312718,1_0,,,0.0,0.0033137862139058,0.6672706068517185
2095,20.928828828828827,-2.723488249179326,8.185295033329377,1_1,,,0.6672706068517185,-7.24066882350692e-05,0.1355135954295033
2096,20.928828828828827,-3.9875167548181443,9.294513792947095,1_2,,,0.519782096145153,,
2097,20.928828828828827,-8.19024743117437,12.289082083369687,2_0,(-24.555911986081586+0j),(8.19024743117437+0j),0.22228928618460614,0.0001977353321717,0.3700739042096965
2098,20.928828828828827,-3.856928031589207,9.21608852537142,2_1,(-122.16374423230408+0j),(71.03828376430376+0j),0.5407091961772462,,
2099,20.928828828828827,-5.76886629624278,10.379250696087988,3_0,(-13.568973078946449+17.410645673088798j),(2.8844331481213894-3.9675180227295517j),0.1575935840209416,,
2100,21.02891891891892,,,0_0,,,,0.0404705264754871,1.0
2101,21.02891891891892,,,0_1,,,,0.004923441121321,1.0
2102,21.02891891891892,,,0_2,,,,0.0005275396863636,1.0
2103,21.02891891891892,,,0_3,,,,,
2104,21.02891891891892,-24.709340033065732,24.709340033065732,1_0,,,0.0,0.0032855776081178,0.6673335837996881
2105,21.02891891891892,-2.7345071612693217,8.219967595474875,1_1,,,0.6673335837996881,-7.142144871817016e-05,0.1353859255793389
2106,21.02891891891892,-4.002299494975019,9.332835516620413,1_2,,,0.5200234142172798,,
2107,21.02891891891892,-8.225460617989816,12.342306576674991,2_0,(-24.659935713023458+0j),(8.225460617989816+0j),0.22229627473899904,0.000195316376536,0.3702401574418313
2108,21.02891891891892,-3.871489969484368,9.254248791532415,2_1,(-122.82960347221058+0j),(71.44417084438713+0j),0.5409001147371786,,
2109,21.02891891891892,-5.792868332090827,10.423398728956556,3_0,(-13.622611102621935+17.48191248774077j),(2.8964341660454136-3.9839854181908567j),0.15760463803657776,,
2110,21.12900900900901,,,0_0,,,,0.0402929220602674,1.0
2111,21.12900900900901,,,0_1,,,,0.0048812366839992,1.0
2112,21.12900900900901,,,0_2,,,,0.000520877775237,1.0
2113,21.12900900900901,,,0_3,,,,,
2114,21.12900900900901,-24.8182546429437,24.8182546429437,1_0,,,0.0,0.0032577171158444,0.6673958520641469
2115,21.12900900900901,-2.745532306112443,8.25465443877132,1_1,,,0.6673958520641469,-7.045366331147503e-05,0.1352594920745438
2116,21.12900900900901,-4.017093901542838,9.371174805410408,1_2,,,0.5202621753484696,,
2117,21.12900900900901,-8.2606868019772,12.395549532226855,2_0,(-24.764002847063946+0j),(8.2606868019772+0j),0.2223031837859522,0.0001929355441277,0.3704046386697879
2118,21.12900900900901,-3.886062250240569,9.292426014220789,2_1,(-123.49572221631038+0j),(71.850213988797+0j),0.5410890576172439,,
2119,21.12900900900901,-5.816881263775414,10.467563938331642,3_0,(-13.676283143772585+17.553215635343225j),(2.908440631887707-4.000460503788618j),0.1576155688859559,,
2120,21.2290990990991,,,0_0,,,,0.0401168198541402,1.0
2121,21.2290990990991,,,0_1,,,,0.0048395584223482,1.0
2122,21.2290990990991,,,0_2,,,,0.0005143251188435,1.0
2123,21.2290990990991,,,0_3,,,,,
2124,21.2290990990991,-24.92720020270491,24.92720020270491,1_0,,,0.0,0.0032301991871386,0.6674574217809192
2125,21.2290990990991,-2.7565636242021494,8.289355423190685,1_1,,,0.6674574217809193,-6.950295647439484e-05,0.1351342836038499
2126,21.2290990990991,-4.03189991075498,9.409531529841246,1_2,,,0.5204984098771709,,
2127,21.2290990990991,-8.295925851982028,12.448810761441152,2_0,(-24.86811295613832+0j),(8.295925851982028+0j),0.22231001447940726,0.0001905921065572,0.3705673698880634
2128,21.2290990990991,-3.900644816758577,9.330620065497914,2_1,(-124.16209183586054+0j),(72.25640748072252+0j),0.5412760475951288,,
2129,21.2290990990991,-5.840904998720163,10.511746167605834,3_0,(-13.729988946960582+17.624554813673193j),(2.9204524993600818-4.016943216587583j),0.15762637819232259,,
2130,21.32918918918919,,,0_0,,,,0.0399422014346306,1.0
2131,21.32918918918919,,,0_1,,,,0.004798397834889,1.0
2132,21.32918918918919,,,0_2,,,,0.0005078795342897,1.0
2133,21.32918918918919,,,0_3,,,,,
2134,21.32918918918919,-25.036176376923034,25.036176376923034,1_0,,,0.0,0.0032030183794443,0.6675183029125571
2135,21.32918918918919,-2.7676010567184837,8.32407041037992,1_1,,,0.667518302912557,-6.85689576529775e-05,0.1350102790593084
2136,21.32918918918919,-4.046717353481802,9.447905479394644,1_2,,,0.5207321593622912,,
2137,21.32918918918919,-8.331177638481943,12.502090078117304,2_0,(-24.972265613469403+0j),(8.331177638481943+0j),0.22231676795319416,0.0001882853560945,0.3707283782518771
2138,21.32918918918919,-3.915237527938851,9.368830748129971,2_1,(-124.82871281148532+0j),(72.66275164697387+0j),0.5414611156030178,,
2139,21.32918918918919,-5.864939413748162,10.555945231487991,3_0,(-13.783728044316758+17.695929598456644j),(2.9324697068740813-4.0334334604685065j),0.15763706796606072,,
2140,21.42927927927928,,,0_0,,,,0.0397690486711806,1.0
2141,21.42927927927928,,,0_1,,,,0.0047577465873822,1.0
2142,21.42927927927928,,,0_2,,,,0.0005015388794235,1.0
2143,21.42927927927928,,,0_3,,,,,
2144,21.42927927927928,-25.145182834727176,25.145182834727176,1_0,,,0.0,0.0031761693551714,0.6675785052518015
2145,21.42927927927928,-2.7786445455182696,8.358799263636751,1_1,,,0.6675785052518015,-6.765131612047068e-05,0.1348874811026282
2146,21.42927927927928,-4.061546313615936,9.486296641351215,1_2,,,0.5209634370761462,,
2147,21.42927927927928,-8.36644203356228,12.555387298402186,2_0,(-25.07646039748875+0j),(8.36644203356228+0j),0.22232344532144302,0.000186014590151,0.3708876774714738
2148,21.42927927927928,-3.9298404445246566,9.407058034669067,2_1,(-125.49556428723973+0j),(73.06923266189342+0j),0.5416442720255902,,
2149,21.42927927927928,-5.888984462236624,10.60016101938582,3_0,(-13.837500484633313+17.76733986817721j),(2.944492231118312-4.049931220945657j),0.157647639202761,,
2150,21.52936936936937,,,0_0,,,,0.039597343719533,1.0
2151,21.52936936936937,,,0_1,,,,0.0047175965089746,1.0
2152,21.52936936936937,,,0_2,,,,0.0004953010782843,1.0
2153,21.52936936936937,,,0_3,,,,,
2154,21.52936936936937,-25.254219249729857,25.254219249729857,1_0,,,0.0,0.0031496468793317,0.6676380384248581
2155,21.52936936936937,-2.789694033127404,8.393541847888924,1_1,,,0.6676380384248581,-6.674967388549272e-05,0.1347658561873325
2156,21.52936936936937,-4.076386486481776,9.524704701463877,1_2,,,0.5211922986040519,,
2157,21.52936936936937,-8.401718910894166,12.608702240757193,2_0,(-25.180696891768385+0j),(8.401718910894166+0j),0.22233004767897338,0.0001837791377123,0.371045301070032
